Inchi_Key1,Inchi_Key2,Similarity_Score
AEOVORPOZVUOMW-UHFFFAOYSA-N,ACUVOYJESJNPMD-UHFFFAOYSA-N,0.58
AEPOWULWMUVCMK-UHFFFAOYSA-N,ABSGVZMTMIBNIK-UHFFFAOYSA-N,0.5
AEQDJSLRWYMAQI-UHFFFAOYSA-N,AEQDJSLRWYMAQI-KRWDZBQOSA-N,1
AEQNWAKXCRUVBS-UZZWPBEWSA-N,AEQNWAKXCRUVBS-RMMPXIALSA-N,1
AERKHUJDDNDUHX-LBPRGKRZSA-N,AABPDWULYJLDBH-LBPRGKRZSA-N,0.51
AERQFFVIPCVLOX-UHFFFAOYSA-N,AELXQWOSRFXARF-UHFFFAOYSA-N,0.56
AERRKJAGWKRHEZ-FQEVSTJZSA-N,ABDKJOVFIDLNSS-IBGZPJMESA-N,0.51
AESBOZOWPNQZDG-UHFFFAOYSA-N,AARCKJCHDVEVDV-UHFFFAOYSA-N,0.6
AESBOZOWPNQZDG-UHFFFAOYSA-N,ADHBJDWCKMOLCA-UHFFFAOYSA-N,0.65
AETKQQBRKSELEL-ZHACJKMWSA-N,AACDPQIFRBEZFP-VMPITWQZSA-N,0.51
AETKQQBRKSELEL-ZHACJKMWSA-N,ADRQFDIWPRFKSP-RUDMXATFSA-N,0.5
AEUILRDAXLSTHQ-UHFFFAOYSA-N,ACXQPBJHXILGLA-UHFFFAOYSA-N,0.68
AEUIUCYFDYDPMI-JJGZGVRBSA-N,AEUIUCYFDYDPMI-BMGUUROBSA-N,1
AEVFCJHPCHDXDJ-PBVYKCSPSA-N,ABCKZNSVBLCRMS-AWEZNQCLSA-N,0.51
AEVJNSJUOFUSKL-ZCFIWIBFSA-N,AEVJNSJUOFUSKL-LURJTMIESA-N,1
AEVLLPRBICIXHW-WCWDXBQESA-N,AEGAAJWWFHYDIH-NVQSTNCTSA-N,0.56
BGUGASPJWGDSCN-UHFFFAOYSA-N,AKEYYZKQEDYTAD-UHFFFAOYSA-N,0.71
BGULFGKRTYKBSQ-UHFFFAOYSA-N,BFJXGNDCJKJBPA-UHFFFAOYSA-N,0.51
BGULRIZNMKERDJ-UHFFFAOYSA-N,ATGOJZIHHQXMBT-UHFFFAOYSA-N,0.75
BGUOULYMBRTBAW-UHFFFAOYSA-N,ADBXTCIYDGSICL-UHFFFAOYSA-N,0.59
BGUOULYMBRTBAW-UHFFFAOYSA-N,AKRLJMPQUMPSSS-UHFFFAOYSA-N,0.6
BGUOULYMBRTBAW-UHFFFAOYSA-N,AOGOZJCRIFBTTN-UHFFFAOYSA-N,0.57
BGUOULYMBRTBAW-UHFFFAOYSA-N,APBCIZYGBCZMMD-UHFFFAOYSA-N,0.61
BGUOULYMBRTBAW-UHFFFAOYSA-N,ATWQVWMVBKTFSI-UHFFFAOYSA-N,0.65
BGUOULYMBRTBAW-UHFFFAOYSA-N,AXNSXRSJHQNIGS-UHFFFAOYSA-N,0.57
BGUOULYMBRTBAW-UHFFFAOYSA-N,AYQQJJCXYWRTDC-UHFFFAOYSA-N,0.65
BGUOULYMBRTBAW-UHFFFAOYSA-N,BCPILSQMLBGEMM-UHFFFAOYSA-N,0.78
BGUOULYMBRTBAW-UHFFFAOYSA-N,BCVLVGSGZQVOKG-UHFFFAOYSA-N,0.61
BGUPIHQRGONFDU-UHFFFAOYSA-N,AGYLZLXOQHNGFJ-UHFFFAOYSA-N,0.6
BGUSFUGSGSBRQA-UHFFFAOYSA-N,ACEZCEGHKCIGHU-UHFFFAOYSA-N,0.54
BGUSFUGSGSBRQA-UHFFFAOYSA-N,ADLUNWXXEBRVEK-BUSXIPJBSA-N,0.53
BGUSFUGSGSBRQA-UHFFFAOYSA-N,BDSPBXLOTZAMAJ-UHFFFAOYSA-N,0.75
BGUUISPXZIOHRA-UHFFFAOYSA-N,AKCDWELULNEIRT-UHFFFAOYSA-N,0.81
BGUUISPXZIOHRA-UHFFFAOYSA-N,ASWLHVCNQDHIJK-UHFFFAOYSA-N,0.76
BGUZJXHODSCNAJ-UHFFFAOYSA-N,ABDIJUBDZNYCOU-UHFFFAOYSA-N,0.6
BGVCDEJJULPIJA-UHFFFAOYSA-N,AQTOLZNEJOBCCB-UHFFFAOYSA-N,0.81
BGVDKZDGFMUNHF-UHFFFAOYSA-N,AFEKMHLSVOVPBJ-UHFFFAOYSA-N,0.55
BGVDKZDGFMUNHF-UHFFFAOYSA-N,AFHDVVVJYAJYTO-UHFFFAOYSA-N,0.6
BGVDKZDGFMUNHF-UHFFFAOYSA-N,AFYWLNSUEZWUTK-UHFFFAOYSA-N,0.58
BGVDKZDGFMUNHF-UHFFFAOYSA-N,AKCWEUYVBLUUJY-UHFFFAOYSA-N,0.53
BGVDKZDGFMUNHF-UHFFFAOYSA-N,AKEPJNJRCPTPRQ-UHFFFAOYSA-N,0.5
BGVDKZDGFMUNHF-UHFFFAOYSA-N,ARRQFKSYXJNLSZ-UHFFFAOYSA-N,0.61
BGVDKZDGFMUNHF-UHFFFAOYSA-N,AYOIBOUNEUHUSD-UHFFFAOYSA-N,0.65
BGVDKZDGFMUNHF-UHFFFAOYSA-N,BCDNMRLVUZRHTD-UHFFFAOYSA-N,0.67
BGVDKZDGFMUNHF-UHFFFAOYSA-N,BFUINHKCIJUXBQ-UHFFFAOYSA-N,0.52
BGVHHOIKSKAZJQ-UHFFFAOYSA-N,AJNHJMAPMQYZQB-SAPNQHFASA-N,0.54
BGVHHOIKSKAZJQ-UHFFFAOYSA-N,ANGDVNGZHOCRPF-NTCAYCPXSA-N,0.58
BGVHHOIKSKAZJQ-UHFFFAOYSA-N,AWWNUCCEVHIHDG-UHFFFAOYSA-N,0.57
BGVIFZCMSUQDTG-JODPSNPRSA-N,BGVIFZCMSUQDTG-HOFJSUAUSA-N,1
BGVINXUJVVAJDD-QNGZSXJXSA-N,AHDAGHCWYONEID-KAGDSSDTSA-N,0.65
BGVINXUJVVAJDD-QNGZSXJXSA-N,AKLWZCFAFVCJDE-FAFCAGHDSA-N,0.6
BGVINXUJVVAJDD-QNGZSXJXSA-N,BCSZFYFJCSDJSC-BBMDXEPMSA-N,0.6
BGVJPSPQECKBQR-XEYKCJAPSA-N,AEMFNILZOJDQLW-QAGGRKNESA-N,0.53
BGVKGSQKNCQLDU-UHFFFAOYSA-N,ACYWZPXRNUHROM-UHFFFAOYSA-N,0.55
BGVKOUSMQGMSDY-INIZCTEOSA-N,ADVDNJCNXOTAHZ-NRFANRHFSA-N,0.68
BGVKOUSMQGMSDY-INIZCTEOSA-N,BEYBHILIDYTJTL-UHFFFAOYSA-N,0.54
BGVLELSCIHASRV-QPEQYQDCSA-N,BGVLELSCIHASRV-NTUHNPAUSA-N,1
BGVMOAYPPKYPSF-UHFFFAOYSA-N,AESSRSHXFGCUGF-UHFFFAOYSA-N,0.59
BGVMOAYPPKYPSF-UHFFFAOYSA-N,AFRYVACYSKMULR-UHFFFAOYSA-N,0.5
BGVMOAYPPKYPSF-UHFFFAOYSA-N,APBBOOMZHRZQBM-UHFFFAOYSA-N,0.63
BGVMOAYPPKYPSF-UHFFFAOYSA-N,APBZRDZUJOBALE-UHFFFAOYSA-N,0.53
BGVMOAYPPKYPSF-UHFFFAOYSA-N,AYDHVJYCWGENRJ-UHFFFAOYSA-N,0.55
BGVPCKPEQROMDY-UHFFFAOYSA-N,AYYMDHDNBIFQAU-UHFFFAOYSA-N,0.57
BGVVHPOHFQGXHV-UHFFFAOYSA-N,AMUZXSRDGPJDPV-JMAPEOGHSA-N,0.51
BGVVHPOHFQGXHV-UHFFFAOYSA-N,AOOTYIRLUTVCBQ-PQQSRXGVSA-N,0.58
BGVVQFKZMVLQSY-UHFFFAOYSA-N,AAEJZGVELWMPGK-UHFFFAOYSA-N,0.62
BGVVQFKZMVLQSY-UHFFFAOYSA-N,APUHMFHZEQXENQ-UHFFFAOYSA-N,0.81
BGVVQFKZMVLQSY-UHFFFAOYSA-N,ARZDRYRJWHQZNJ-UHFFFAOYSA-N,0.7
