"ChemicalID";"Inchi_Key";"Canonical_Smiles";FDA_Approved
"CHEMBL2011479";"AADKPDGTJHDJAJ-QGZVFWFLSA-N";"O=C(Cc1ccc(Cc2ccccc2)cc1)OC[C@H]3CO3";0
"CHEMBL2011322";"AADKPDGTJHDJAJ-UHFFFAOYSA-N";"O=C(Cc1ccc(Cc2ccccc2)cc1)OCC3CO3";0
"CHEMBL2272979";"AADLHSYKYWGWSL-UHFFFAOYSA-N";"CCC(COc1cccc(c1)C(F)(F)F)OC(=O)NCc2cccc(Cl)c2";0
"CHEMBL1643409";"AADOPWJZQGADEV-IRXDYDNUSA-N";"CC(C)C[C@H](NC(=O)N[C@@H](CCCCNC(=O)OCc1ccccc1)C(=O)NO)C(=O)NO";0
"CHEMBL2016700";"AADREHBCWGMZDZ-UHFFFAOYSA-N";"Cc1nc(nc2ccc(NC(=O)COc3ccc(Cl)cc3)cc12)N4CCN(CC(C)(C)C)CC4";0
"CHEMBL215374";"AADSFGMHGXEQDC-UHFFFAOYSA-N";"CN(C)CC1CN(c2cc(ccc2O1)N3C=Nc4cc(sc4C3=O)c5ccc(Cl)cc5)S(=O)(=O)c6ccccc6";0
"CHEMBL2158292";"AADUJBXZMSDOOW-UHFFFAOYSA-N";"[O-][n+]1ccc(cc1)C(=O)N2CCC(CC2)c3ccc(NC(=O)c4nc(c[nH]4)C#N)c(c3)C5=CCCCC5";0
"SCHEMBL2841361";"AADUQEJYBCZCAP-OUKQBFOZSA-N";"Cc1c(nn(c2nc(\C=C\C(=O)O)cs2)c1c3ccccc3)c4ccccc4";0
"CHEMBL319478";"AADUXTNZXBDKCQ-QZGPFWCRSA-N";"C[C@@H]1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c([S+]1[O-])c(CC(C)(C)C(=O)O)n5Cc6ccc(Cl)cc6";0
"CHEMBL363338";"AADVGRCQGZZZNH-NPHZLWFCSA-N";"CC(C)C[C@H](CC(=O)[C@H](Cc1ccc(OC(F)(F)C(=O)O)cc1)NC(=O)[C@H](CCC(=O)OCc2ccccc2)NC(=O)OCC3c4ccccc4c5ccccc35)C(=O)N";0
"Isorauhimbinic acid";"AADVZSXPNRLYLV-IIIYPXSQSA-N";"O[C@H]1CC[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)O";0
"CHEMBL22618";"AAEBMZQCUQGRHJ-UHFFFAOYSA-N";"OC1(CCC1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4";0
"CHEMBL1332686";"AAEBPMYGFOMJRA-MRVPVSSYSA-N";"C[C@@H]1CN(CCN1)C2=C(Cl)C(=O)N(C2=O)c3ccc(Cl)nc3";0
"CHEMBL1411557";"AAEBPMYGFOMJRA-QMMMGPOBSA-N";"C[C@H]1CN(CCN1)C2=C(Cl)C(=O)N(C2=O)c3ccc(Cl)nc3";0
"CHEMBL2325774";"AAECPRMIYCDXKI-PSXMRANNSA-N";"CN(C)CC[C@H](CSc1ccccc1)Nc2ccc(cc2[N+](=O)[O-])S(=O)(=O)Nc3ccc(cc3)N4CCN(CC4)c5cccc(c5)c6cnn(C)c6c7ccc(Cl)cc7";0
"CHEMBL1096096";"AAEDHMXIOGFEHG-UHFFFAOYSA-N";"Cc1nn(c(C)c1CC(=O)NC(C)(C)c2ccccc2)c3ccccc3";0
"CHEMBL1762411";"AAEIJYARJYLTIS-UHFFFAOYSA-N";"Cc1cc(N)c2cc(NC(=O)c3ccccc3COc4ccc(CNCCCCCCCCCCN)cc4)ccc2n1";0
"CHEMBL338740";"AAEJZGVELWMPGK-UHFFFAOYSA-N";"CCCc1nn(c(C(=O)O)c1Cc2ccc(cc2)c3ccccc3c4nn[nH]n4)c5c(Cl)cccc5Cl";0
"MLS002540734";"AAEUJKNZUMOJDJ-UHFFFAOYSA-N";"[O-][N+](=O)c1ccc(cc1NCc2cccnc2)N3CCN(CC3)S(=O)(=O)c4ccccc4";0
"CHEMBL325198";"AAEVPRISMKXZKU-UHFFFAOYSA-N";"CCCCCCCCc1ccc(CCC(N)CCP(=O)(O)O)cc1";0
"CHEMBL2057501";"AAEYDFXKGIXSDP-UHFFFAOYSA-N";"Cc1nc(c(s1)S(=O)(=O)N2CC(C2)C(=O)N3CCN(CC3)c4ccncc4)C(F)(F)F";0
"CHEMBL250784";"AAEYFXNGALFNCS-UHFFFAOYSA-N";"CN(CCOc1ccc(cc1c2cccc(Cl)c2)c3ccccc3)CC(=O)O";0
"CHEMBL491358";"AAEYHJGXSUBKQJ-UHFFFAOYSA-N";"CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2C1c4ccc(OC)c(OC)c4";0
"CHEMBL3264640";"AAEYMKAMMSZOMQ-UHFFFAOYSA-N";"CC(C)n1cc(C(=O)Nc2ccc(C)c(c2)S(=O)(=O)N3CCOCC3)c(n1)c4ccc(C)cc4";0
"CHEMBL197566";"AAEYZBWTBCAWLV-UUILKARUSA-N";"OC(=O)Cc1ccc2oc(nc2c1)c3ccc(NC(=O)\C=C\c4ccc(Br)cc4)cc3";0
"T338C Src-IN-1";"AAFALAKLPXVLIO-UHFFFAOYSA-N";"CC(C)n1nc(Cc2cccc(NS(=O)(=O)C=C)c2)c3c(N)ncnc13";0
"MLS000807201";"AAFATYSWBYJIIM-UHFFFAOYSA-N";"Cc1ccccc1Nc2nc(N)nc(CSc3ccc(F)cc3)n2";0
"CHEMBL522158";"AAFIDRUCDKVRAX-UHFFFAOYSA-N";"Clc1ccc(cc1Cl)C2(CCN(C2)C(=O)c3occc3)OCCN4CCC5(CC4)N(CNC5=O)c6ccccc6";0
"MLS000103088";"AAFJMTJWSYZCLD-UHFFFAOYSA-N";"CCCCSC1=C(C#N)C(CC(=O)N1)c2ccccc2C";0
"CHEMBL2442794";"AAFJVGMNCZVUHO-GEYQZXRLSA-N";"COc1cc(cc(OC)c1O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](Nc4ccc(OCCCCC(=O)NO)cc4)c5cc6OCOc6cc25";0
"CHEMBL404176";"AAFLCIOJXSTSDK-UHFFFAOYSA-M";"[Na+].CCc1cn(c2nc(cs2)C(=O)[O-])c3cc(Cl)ccc13";0
"CHEMBL208901";"AAFLHABTMIJIEE-UHFFFAOYSA-N";"COc1cc(C)c(Sc2cnc(NC(=O)C3CC3)s2)cc1C(=O)N4CCN(CC4)C(=O)CN(C)C";0
"imidazothienopyrazine, 13b";"AAFMUTYTWRBOGE-UHFFFAOYSA-N";"Cc1cnc2c(NCCN)nc3cc(sc3n12)c4ccccc4";0
"CHEMBL1806768";"AAFQEIUAVWYQTJ-UHFFFAOYSA-N";"CN1C(=O)N(C)c2nc(OCCOc3ccc(Br)cc3)n(C)c2C1=O";0
